Index,Date Time,Sigma,train_loss_last_value,val_loss_last_value,Learning Rate,Epochs,Seed,Training Time,Training Set Size,Image Path,Numpy Path,Last 100 Train Losses,Last 100 Val Losses,Train Val Loss File Path,Last 100 Train Loss File Path,Last 100 Val Loss File Path
1,2024-04-11_16-33,4.5,16.977936461980622,16.978304796103178,0.0001,700,123,622.44583,1743,./Images_Plots/symlog_sig_4.5_eph_700_lr_0.0001_2024-04-11_16-33.png,./Images_Plots/symlog_sig_4.5_eph_700_lr_0.0001_2024-04-11_16-33.npy,16.977936461980622,16.978304796103178,results/Loss_sigma_4.5_epochs_700_lr_0.0001_2024-04-11_16-33.npy,results/Loss_sigma_4.5_epochs_700_lr_0.0001_2024-04-11_16-33_last100trainLoss.npy,results/Loss_sigma_4.5_epochs_700_lr_0.0001_2024-04-11_16-33_last100valLoss.npy
2,2024-04-12_00-10,0.1,-7.280332457651472,-0.9167529548550486,0.0001,30000,123,25430.58362,1743,./Images_Plots/symlog_sig_0.1_eph_30000_lr_0.0001_2024-04-12_00-10.png,./Images_Plots/symlog_sig_0.1_eph_30000_lr_0.0001_2024-04-12_00-10.npy,-7.280332457651472,-0.9167529548550486,results/Loss_sigma_0.1_epochs_30000_lr_0.0001_2024-04-12_00-10.npy,results/Loss_sigma_0.1_epochs_30000_lr_0.0001_2024-04-12_00-10_last100trainLoss.npy,results/Loss_sigma_0.1_epochs_30000_lr_0.0001_2024-04-12_00-10_last100valLoss.npy
3,2024-04-12_02-18,0.001,2.3440220917694634,65.29104237930117,0.0001,30000,123,33312.68666,1743,./Images_Plots/symlog_sig_0.001_eph_30000_lr_0.0001_2024-04-12_02-18.png,./Images_Plots/symlog_sig_0.001_eph_30000_lr_0.0001_2024-04-12_02-18.npy,2.3440220917694634,65.29104237930117,results/Loss_sigma_0.001_epochs_30000_lr_0.0001_2024-04-12_02-18.npy,results/Loss_sigma_0.001_epochs_30000_lr_0.0001_2024-04-12_02-18_last100trainLoss.npy,results/Loss_sigma_0.001_epochs_30000_lr_0.0001_2024-04-12_02-18_last100valLoss.npy
4,2024-04-12_07-09,0.4,1.0768228420166934,1.445749685088839,0.0001,30000,123,25118.09114,1743,./Images_Plots/symlog_sig_0.4_eph_30000_lr_0.0001_2024-04-12_07-09.png,./Images_Plots/symlog_sig_0.4_eph_30000_lr_0.0001_2024-04-12_07-09.npy,1.0768228420166934,1.445749685088839,results/Loss_sigma_0.4_epochs_30000_lr_0.0001_2024-04-12_07-09.npy,results/Loss_sigma_0.4_epochs_30000_lr_0.0001_2024-04-12_07-09_last100trainLoss.npy,results/Loss_sigma_0.4_epochs_30000_lr_0.0001_2024-04-12_07-09_last100valLoss.npy
5,2024-04-12_11-31,0.01,-20.079818422840148,78.9562273265415,0.0001,30000,123,33160.42534,1743,./Images_Plots/symlog_sig_0.01_eph_30000_lr_0.0001_2024-04-12_11-31.png,./Images_Plots/symlog_sig_0.01_eph_30000_lr_0.0001_2024-04-12_11-31.npy,-20.079818422840148,78.9562273265415,results/Loss_sigma_0.01_epochs_30000_lr_0.0001_2024-04-12_11-31.npy,results/Loss_sigma_0.01_epochs_30000_lr_0.0001_2024-04-12_11-31_last100trainLoss.npy,results/Loss_sigma_0.01_epochs_30000_lr_0.0001_2024-04-12_11-31_last100valLoss.npy
6,2024-04-12_14-13,0.6,3.5785317744713963,3.738950056793565,0.0001,30000,123,25455.28151,1743,./Images_Plots/symlog_sig_0.6_eph_30000_lr_0.0001_2024-04-12_14-13.png,./Images_Plots/symlog_sig_0.6_eph_30000_lr_0.0001_2024-04-12_14-13.npy,3.5785317744713963,3.738950056793565,results/Loss_sigma_0.6_epochs_30000_lr_0.0001_2024-04-12_14-13.npy,results/Loss_sigma_0.6_epochs_30000_lr_0.0001_2024-04-12_14-13_last100trainLoss.npy,results/Loss_sigma_0.6_epochs_30000_lr_0.0001_2024-04-12_14-13_last100valLoss.npy
7,2024-04-12_21-36,1.0,6.7732503601949166,6.780697021012597,0.0001,30000,123,26569.89161,1743,./Images_Plots/symlog_sig_1.0_eph_30000_lr_0.0001_2024-04-12_21-36.png,./Images_Plots/symlog_sig_1.0_eph_30000_lr_0.0001_2024-04-12_21-36.npy,6.7732503601949166,6.780697021012597,results/Loss_sigma_1.0_epochs_30000_lr_0.0001_2024-04-12_21-36.npy,results/Loss_sigma_1.0_epochs_30000_lr_0.0001_2024-04-12_21-36_last100trainLoss.npy,results/Loss_sigma_1.0_epochs_30000_lr_0.0001_2024-04-12_21-36_last100valLoss.npy
8,2024-04-13_01-37,0.0006,2.415856961661828,42.62683334210434,0.0001,30000,123,33186.93214,1743,./Images_Plots/symlog_sig_0.0006_eph_30000_lr_0.0001_2024-04-13_01-37.png,./Images_Plots/symlog_sig_0.0006_eph_30000_lr_0.0001_2024-04-13_01-37.npy,2.415856961661828,42.62683334210434,results/Loss_sigma_0.0006_epochs_30000_lr_0.0001_2024-04-13_01-37.npy,results/Loss_sigma_0.0006_epochs_30000_lr_0.0001_2024-04-13_01-37_last100trainLoss.npy,results/Loss_sigma_0.0006_epochs_30000_lr_0.0001_2024-04-13_01-37_last100valLoss.npy
9,2024-04-13_06-35,0.3,-0.6822248177042883,0.12437361485506325,0.0001,30000,123,25344.35817,1743,./Images_Plots/symlog_sig_0.3_eph_30000_lr_0.0001_2024-04-13_06-35.png,./Images_Plots/symlog_sig_0.3_eph_30000_lr_0.0001_2024-04-13_06-35.npy,-0.6822248177042883,0.12437361485506325,results/Loss_sigma_0.3_epochs_30000_lr_0.0001_2024-04-13_06-35.npy,results/Loss_sigma_0.3_epochs_30000_lr_0.0001_2024-04-13_06-35_last100trainLoss.npy,results/Loss_sigma_0.3_epochs_30000_lr_0.0001_2024-04-13_06-35_last100valLoss.npy
10,2024-04-13_10-48,0.004,-23.367082433750475,302.040247168964,0.0001,30000,123,33045.48804,1743,./Images_Plots/symlog_sig_0.004_eph_30000_lr_0.0001_2024-04-13_10-48.png,./Images_Plots/symlog_sig_0.004_eph_30000_lr_0.0001_2024-04-13_10-48.npy,-23.367082433750475,302.040247168964,results/Loss_sigma_0.004_epochs_30000_lr_0.0001_2024-04-13_10-48.npy,results/Loss_sigma_0.004_epochs_30000_lr_0.0001_2024-04-13_10-48_last100trainLoss.npy,results/Loss_sigma_0.004_epochs_30000_lr_0.0001_2024-04-13_10-48_last100valLoss.npy
